id	old_name	new_name	address	city	source
1006	Pickleball Courts	Perris Hill Park Pickleball Courts	865 E Highland Ave, San Bernardino, CA 92404, USA	San Bernardino	park,tourist_attraction
697	Pickleball Court		3536 Calle La Quinta, San Clemente, CA 92673, USA	San Clemente	NO CONFIDENT VENUE
698	Pickleball Court	Tierra Grande Park Pickleball Courts	401 Camino Tierra Grande, San Clemente, CA 92673, USA	San Clemente	park,point_of_interest
699	Pickleball Court	Shorecliffs Golf Club Pickleball Courts	501 Avenida Vaquero, San Clemente, CA 92672, USA	San Clemente	point_of_interest,establishment
700	Pickleball Court		1327 Calle Avanzado, San Clemente, CA 92673, USA	San Clemente	NO CONFIDENT VENUE
701	Pickleball Court 1	Talega Swim & Athletic Club Pickleball Court 1	100 Calle Altea, San Clemente, CA 92673, USA	San Clemente	point_of_interest,establishment
702	Pickleball Court 1		9 Storage Lot, San Clemente, CA 92672, USA	San Clemente	NO CONFIDENT VENUE
1117	Pickleball Courts	Westwood Club Preschool Pickleball Courts	17394 W Bernardo Dr, San Diego, CA 92127, USA	San Diego	school,point_of_interest
708	Pickleball Court	Mission Bell Park Pickleball Courts	33112 Buccaneer Ct, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	park,tourist_attraction
709	Pickleball Court 1		10 Plaza Baja Del Sol, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	NO CONFIDENT VENUE
710	Pickleball Court 1		30201 Outpost Rd, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	NO CONFIDENT VENUE
711	Pickleball Court 1	Cook La Novia Park Pickleball Court 1	27514 Private St, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	park,point_of_interest
712	Pickleball Court 2		30201 Outpost Rd, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	NO CONFIDENT VENUE
713	Pickleball Court 2	Cook La Novia Park Pickleball Court 2	27514 Private St, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	park,point_of_interest
714	Pickleball Court 2		58 Plaza Brisas, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	NO CONFIDENT VENUE
715	Pickleball Court 3		27591 Silver Creek Dr, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	NO CONFIDENT VENUE
716	Pickleball Courts		27591 Silver Creek Dr, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	NO CONFIDENT VENUE
723	Pickleball Court	J.H. McGaugh Elementary School Pickleball Courts	1864 Anchor Way, Seal Beach, CA 90740, USA	Seal Beach	primary_school,school
724	Pickleball Courts	Los Cerritos Wetlands Pickleball Courts	333 1st St, Seal Beach, CA 90740, USA	Seal Beach	tourist_attraction,park
1160	Pickleball Courts		3700 Avenida Simi, Simi Valley, CA 93063, USA	Simi Valley	NO CONFIDENT VENUE
1122	Pickleball court	Fusion Academy Solana Beach Pickleball Courts	514 Via De La Valle Unit 308, Solana Beach, CA 92075, USA	Solana Beach	secondary_school,school
921	Pickleball Courts		FVXJ+8R, Temecula, CA 92592, USA	Temecula	NO CONFIDENT VENUE
